#	timestep	total	type0	type1	type2
547 2.301541 10.567875 0.714750 0.382373
548 2.305501 10.584670 0.716313 0.383088
549 2.307824 10.600593 0.715886 0.382803
550 2.310732 10.614679 0.716614 0.383259
551 2.314800 10.632783 0.718001 0.384012
552 2.316546 10.646240 0.717438 0.383283
553 2.319616 10.662625 0.717840 0.383712
554 2.323340 10.680320 0.718839 0.384364
555 2.325988 10.696765 0.718765 0.384107
556 2.328902 10.711464 0.719372 0.384464
557 2.331548 10.725272 0.719872 0.384529
558 2.334789 10.742137 0.720488 0.384646
559 2.337713 10.757591 0.720919 0.385012
560 2.341453 10.773034 0.722390 0.386119
561 2.343903 10.789709 0.722101 0.385306
562 2.346531 10.804820 0.722162 0.385719
563 2.349711 10.819679 0.723127 0.386079
564 2.352749 10.833900 0.724014 0.386538
565 2.354989 10.847336 0.724081 0.386269
566 2.357979 10.862247 0.724745 0.386645
567 2.360868 10.878207 0.724995 0.387023
568 2.364379 10.893961 0.726227 0.387407
569 2.366829 10.910053 0.725932 0.387195
570 2.370468 10.927601 0.726878 0.387695
571 2.373014 10.943006 0.726870 0.387600
572 2.376578 10.959501 0.727960 0.388128
573 2.378831 10.974550 0.727634 0.387900
574 2.382076 10.991016 0.728302 0.388231
575 2.385685 11.007999 0.729328 0.388800
576 2.388061 11.022972 0.729208 0.388561
577 2.391773 11.039672 0.730393 0.389396
578 2.393853 11.052135 0.730440 0.389225
579 2.396791 11.067407 0.731011 0.389296
580 2.400373 11.085046 0.731841 0.389827
581 2.402887 11.100593 0.731820 0.389454
582 2.405663 11.115085 0.732218 0.390018
583 2.409110 11.129585 0.733616 0.390613
584 2.412019 11.147835 0.733481 0.390355
585 2.414572 11.163395 0.733489 0.390082
586 2.418468 11.178918 0.735113 0.391438
587 2.421315 11.194970 0.735489 0.390961
588 2.423395 11.209723 0.735037 0.390500
589 2.427565 11.226978 0.736628 0.391898
590 2.429787 11.241252 0.736483 0.391533
591 2.432607 11.256835 0.736813 0.391557
592 2.436318 11.272654 0.738150 0.392654
593 2.437929 11.286003 0.737426 0.391862
594 2.441290 11.301209 0.738512 0.392484
595 2.443825 11.316044 0.738661 0.392264
596 2.447168 11.334168 0.739093 0.392465
597 2.450059 11.350163 0.739457 0.392365
598 2.452395 11.362568 0.739818 0.392531
599 2.454972 11.376214 0.740250 0.392619
600 2.458249 11.392479 0.740923 0.393319
601 2.461158 11.407802 0.741475 0.393250
602 2.463807 11.422240 0.741801 0.393398
603 2.466960 11.440055 0.742081 0.393382
604 2.469553 11.453877 0.742448 0.393646
605 2.472990 11.470432 0.743378 0.393995
606 2.475296 11.485262 0.743194 0.393740
607 2.478520 11.502087 0.743808 0.393805
608 2.481612 11.517914 0.744412 0.394111
609 2.484247 11.533215 0.744525 0.394167
610 2.487435 11.549405 0.745227 0.394297
611 2.490890 11.566652 0.746002 0.394681
612 2.494387 11.583495 0.746889 0.395272
613 2.497612 11.602899 0.746868 0.395300
614 2.500540 11.618725 0.747277 0.395410
615 2.503553 11.635134 0.747651 0.395583
616 2.506635 11.648929 0.748746 0.395896
617 2.509639 11.668576 0.748427 0.395550
618 2.513320 11.685148 0.749574 0.396480
619 2.515712 11.702981 0.748901 0.395685
620 2.519293 11.719877 0.749850 0.396476
621 2.522014 11.736626 0.749849 0.396061
622 2.526111 11.754534 0.751220 0.397253
623 2.528657 11.771680 0.750973 0.396371
624 2.532334 11.787824 0.752211 0.397334
625 2.535978 11.805275 0.753144 0.398015
626 2.538155 11.821472 0.752527 0.397349
627 2.541176 11.835794 0.753302 0.398055
628 2.544777 11.853428 0.754191 0.398468
629 2.547497 11.868904 0.754431 0.398354
630 2.550401 11.885055 0.754763 0.398298
