#	r	total	0-0	0-1	0-2	1-1	1-2	2-2
11.003118 0.975932 0.995629 1.076686 0.929909 0.871688 1.087946 1.014036
11.037883 0.976575 0.989553 1.076808 0.928664 0.874017 1.086778 1.016864
11.072648 0.977434 0.992575 1.077609 0.927416 0.876205 1.085338 1.017377
11.107413 0.977404 0.985069 1.076894 0.927597 0.878672 1.081668 1.019042
11.142178 0.978107 0.984766 1.076044 0.925281 0.882772 1.077599 1.023038
11.176943 0.978413 0.984941 1.074528 0.926933 0.885797 1.073498 1.027113
11.211708 0.979507 0.978671 1.074010 0.925466 0.890969 1.068991 1.033121
11.246473 0.980111 0.979940 1.071439 0.928569 0.895138 1.065373 1.030205
11.281238 0.981907 0.978119 1.070168 0.929358 0.901824 1.060796 1.034922
11.316003 0.982879 0.976335 1.065946 0.931368 0.908435 1.055319 1.039491
11.350768 0.984907 0.975487 1.065601 0.932253 0.915170 1.051091 1.040400
11.385533 0.985417 0.976729 1.061950 0.931364 0.921096 1.044094 1.049666
11.420298 0.987538 0.973497 1.058189 0.934532 0.930947 1.037399 1.048956
11.455063 0.989116 0.971950 1.055709 0.937141 0.938112 1.031650 1.053294
11.489828 0.990881 0.973304 1.050433 0.943077 0.946332 1.026454 1.055825
11.524593 0.992808 0.973239 1.045932 0.946083 0.955693 1.019725 1.059321
11.559358 0.994641 0.971826 1.042006 0.947694 0.964503 1.013915 1.060431
11.594123 0.997585 0.975989 1.038971 0.953738 0.974042 1.008090 1.068429
11.628888 0.999077 0.973941 1.034839 0.958225 0.981784 1.002048 1.072748
11.663653 1.001801 0.973906 1.029721 0.960584 0.992366 0.996558 1.081663
11.698418 1.002464 0.976248 1.023612 0.966459 0.999050 0.990930 1.078411
11.733183 1.006189 0.976128 1.021504 0.971337 1.009533 0.986336 1.088753
11.767948 1.007575 0.975934 1.016018 0.977981 1.017690 0.980303 1.087188
11.802713 1.010125 0.979898 1.010908 0.981306 1.027129 0.975375 1.097678
11.837478 1.012393 0.979666 1.005289 0.987503 1.035830 0.972172 1.098504
11.872243 1.014163 0.983075 1.002323 0.990844 1.043834 0.965540 1.100845
11.907008 1.016662 0.985767 0.997197 0.996575 1.051883 0.963321 1.106636
11.941773 1.018885 0.986094 0.992960 1.002423 1.059460 0.960377 1.110853
11.976538 1.020014 0.985707 0.987124 1.007026 1.065894 0.956623 1.116475
